Time (s),"Breathing (0.3-0.7Hz, norm)","Heartbeat (0.8-2.0Hz, norm)"
0.004167,0.072963948,-0.04356139
0.014167,0.070925158,-0.033196571
0.024167,0.068827818,-0.022243513
0.034167,0.06667449,-0.010813816
0.044167,0.064467806,0.000974663
0.054167,0.062210466,0.01299918336
0.064167,0.059905231,0.025133528
0.074167,0.0575549217,0.03724941384
0.084167,0.05516241295,0.049217891
0.094167,0.05273063252,0.06091071384
0.104167,0.050262555,0.07220167
0.114167,0.0477612,0.082967857
0.124167,0.045229625,0.093090894
0.134167,0.042670924,0.1024580697
0.144167,0.040088222,0.1109634103
0.154167,0.037484671,0.1185086744
0.164167,0.03486344601,0.125004265
0.174167,0.03222774,0.1303700601
0.184167,0.02958076028,0.1345361604
0.194167,0.02692572362,0.1374435526
0.204167,0.02426585193,0.139044689
0.214167,0.021604368,0.1393039832
0.224167,0.01894449004,0.138198222
0.234167,0.01628942918,0.1357168926
0.244167,0.01364238303,0.131862425
0.254167,0.01100653222,0.1266503467
0.264167,0.008385036,0.1201093482
0.274167,0.005781027,0.1122812547
0.284167,0.003197608,0.1032209029
0.294167,0.000637846,0.092995917
0.304167,-0.001895228,0.081686384
0.314167,-0.004398631,0.069384417
0.324167,-0.006869423,0.05619361355
0.334167,-0.009304718,0.042228397
0.344167,-0.011701684,0.027613239
0.354167,-0.014057552,0.01248176187
0.364167,-0.016369611,-0.003024282
0.374167,-0.018635221,-0.018756155
0.384167,-0.020851812,-0.034559399
0.394167,-0.023016888,-0.050275234
0.404167,-0.025128031,-0.065742054
0.414167,-0.027182904,-0.080797051
0.424167,-0.029179256,-0.095277927
0.434167,-0.03111492,-0.109024685
0.444167,-0.032987824,-0.121881498
0.454167,-0.034795985,-0.133698606
0.464167,-0.03653752,-0.144334229
0.474167,-0.038210642,-0.153656469
0.484167,-0.039813666,-0.161545159
0.494167,-0.04134501,-0.167893642
0.504167,-0.042803199,-0.172610428
0.514167,-0.044186862,-0.17562072
0.524167,-0.04549474,-0.176867766
0.534167,-0.046725683,-0.176314014
0.544167,-0.047878656,-0.173942045
0.554167,-0.048952733,-0.169755259
0.564167,-0.049947106,-0.163778303
0.574167,-0.050861081,-0.156057213
0.584167,-0.05169408,-0.146659272
0.594167,-0.052445641,-0.135672567
0.604167,-0.053115422,-0.123205244
0.614167,-0.053703194,-0.109384469
0.624167,-0.054208848,-0.094355094
0.634167,-0.05463239,-0.078278046
0.644167,-0.054973945,-0.061328457
0.654167,-0.055233751,-0.04369355
0.664167,-0.055412164,-0.025570321
0.674167,-0.055509653,-0.007163041
0.684167,-0.0555268,0.01131938044
0.694167,-0.0554643,0.029666141
0.704167,-0.055322958,0.047667342
0.714167,-0.055103688,0.065116806
0.724167,-0.054807512,0.081814869
0.734167,-0.054435557,0.097571091
0.744167,-0.053989052,0.112206864
0.754167,-0.053469329,0.1255578493
0.764167,-0.052877819,0.1374762302
0.774167,-0.052216048,0.1478327284
0.784167,-0.051485637,0.1565183594
0.794167,-0.050688296,0.1634459
0.804167,-0.049825826,0.1685510415
0.814167,-0.04890011,0.1717932148
0.824167,-0.047913117,0.1731560698
0.834167,-0.046866892,0.1726476033
0.844167,-0.045763555,0.1702999314
0.854167,-0.044605302,0.1661687073
0.864167,-0.043394394,0.1603321945
0.874167,-0.042133158,0.1528900058
0.884167,-0.040823985,0.1439615288
0.894167,-0.03946932,0.1336840591
0.904167,-0.038071664,0.1222106705
0.914167,-0.03663357,0.1097078549
0.924167,-0.035157633,0.096352968
0.934167,-0.033646493,0.082331521
0.944167,-0.032102829,0.067834361
0.954167,-0.030529352,0.053054786
0.964167,-0.028928804,0.03818563902
0.974167,-0.027303955,0.023416432
0.984167,-0.025657593,0.008930543
0.994167,-0.023992527,-0.005097464
1.004167,-0.022311578,-0.018504355
